Player,Pos,Bye,Team,Projected $,Skew,Paid,Inflated $ Value,,,,,,,,,,,,,
Andrew Quarless,TE,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Virgil Green,TE,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Adrien Robinson,TE,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Anthony McCoy,TE,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Gary Barnidge,TE,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
James Hanna,TE,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Garrett Celek,TE,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Nick Kasa,TE,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Matthew Mulligan,TE,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Michael Williams,TE,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Allen Reisner,TE,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Jeron Mastrud,TE,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Chase Coffman,TE,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Michael Higgins,TE,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Clay Harbor,TE,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Michael Palmer,TE,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Evan Moore,TE,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Billy Bajema,TE,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Niles Paul,TE,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Konrad Reuland,TE,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Michael Hoomanawanui,TE,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Dante Rosario,TE,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Bear Pascoe,TE,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Steve Maneri,TE,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Justice Cunningham,TE,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Alex Smith,TE,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Sean McGrath,TE,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Ryan Griffin,TE,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Levine Toilolo,TE,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Brett Brackett,TE,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Rhett Ellison,TE,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Weslye Saunders,TE,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Daniel Fells,TE,10,NE,$0,$0,,$0,,,,,,,,,,,,,
D.C. Jefferson,TE,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
David Johnson,TE,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Ben Hartsock,TE,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Evan Rodriguez,TE,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Dorin Dickerson,TE,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Richie Brockel,TE,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Hayden Smith,TE,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Kyle Adams,TE,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Kevin Brock,TE,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Mike McNeill,TE,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Ryan Otten,TE,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Jamie McCoy,TE,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Chris Gragg,TE,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Nate Byham,TE,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Brody Eldridge,TE,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Jim Dray,TE,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Aaron Hernandez,TE,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Ryan Taylor,TE,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Kory Sperry,TE,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Colin Cochart,TE,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Fendi Onobun,TE,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Cory Harkey,TE,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Mickey Shuler,TE,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Dan Gronkowski,TE,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Mike Caussin,TE,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Zack Pianalto,TE,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Tommy Gallarda,TE,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Isaiah Stanback,TE,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Brad Smelley,TE,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Brandon Barden,TE,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Danny Noble,TE,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Dennis Pitta,TE,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Jake Stoneburner,TE,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Dominique Curry,TE,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Alex Silvestro,TE,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
MarQueis Gray,TE,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Kyle Miller,TE,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Andre Smith,TE,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Brandon Bostick,TE,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Jake O'Connell,TE,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Joseph Fauria,TE,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Brandon Williams,TE,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Richard Quinn,TE,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Demetrius Harris,TE,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Zach Potter,TE,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Dominique Jones,TE,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Philip Lutzenkirchen,TE,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Matt Furstenburg,TE,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
