Player,Pos,Bye,Team,Projected $,Skew,Paid,Inflated $ Value,,,,,,,,,,,,,
Joique Bell,RB,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Le'Veon Bell,RB,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Isaiah Pead,RB,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Michael Bush,RB,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Shonn Greene,RB,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Bilal Powell,RB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Daniel Thomas,RB,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Isaac Redman,RB,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Joe Flacco,QB,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Johnathan Franklin,RB,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Roy Helu,RB,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Kendall Hunter,RB,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Mike Tolbert,RB,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Knowshon Moreno,RB,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Mikel Leshoure,RB,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Marcel Reece,RB,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Heath Miller,TE,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Alex Smith,QB,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Ryan Tannehill,QB,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Brandon Weeden,QB,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Jake Locker,QB,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
E.J. Manuel,QB,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Christian Ponder,QB,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Blaine Gabbert,QB,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Geno Smith,QB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Terrelle Pryor,QB,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Matt Flynn,QB,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Chad Henne,QB,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Mark Sanchez,QB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Nick Foles,QB,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Matt Cassel,QB,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Ryan Fitzpatrick,QB,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Kirk Cousins,QB,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Kevin Kolb,QB,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Matt Barkley,QB,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Bruce Gradkowski,QB,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Jason Campbell,QB,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Jeff Tuel,QB,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Chase Daniel,QB,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Matt Moore,QB,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Colt McCoy,QB,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Drew Stanton,QB,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Brian Hoyer,QB,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Tyrod Taylor,QB,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Domanique Davis,QB,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Josh McCown,QB,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Dennis Dixon,QB,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Tim Tebow,QB,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Kyle Orton,QB,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Charlie Whitehurst,QB,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Graham Harrell,QB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Shaun Hill,QB,9,DET,$0,$0,,$0,,,,,,,,,,,,,
